Alpha_0.2,Alpha_0.4,Alpha_0.6,Alpha_0.8
96,58,76,19
9,64,38,28
92,50,74,15
90,12,61,26
84,70,55,34
89,60,46,6
35,60,82,24
98,3,69,47
95,55,60,31
98,57,67,21
103,12,24,22
97,59,46,13
91,7,55,14
106,35,25,52
103,45,66,34
7,11,88,19
95,36,39,7
97,15,20,28
102,117,81,17
14,19,70,37
76,18,69,14
7,81,5,27
97,9,46,32
97,131,70,22
83,45,15,16
97,47,77,19
77,32,15,16
19,4,85,25
21,9,57,33
13,28,3,6
8,357,59,36
95,9,71,17
89,57,20,50
19,112,101,20
14,49,79,30
46,50,41,32
17,16,63,29
85,53,28,29
98,68,36,27
82,35,61,21
93,10,37,27
98,49,87,14
96,52,50,51
95,108,66,19
21,124,22,21
96,51,32,52
2,2,46,37
100,47,26,30
99,11,43,25
20,55,78,20
100,44,43,19
78,36,63,15
101,22,4,39
89,53,21,21
4,47,82,6
33,10,57,28
65,13,31,22
85,76,74,25
25,46,35,36
101,63,79,42
16,63,35,25
7,37,65,48
99,10,50,19
91,22,79,34
100,92,67,35
111,4,85,29
109,9,72,48
96,50,83,23
107,57,70,28
94,17,82,20
83,48,41,24
89,4,19,35
91,49,79,28
99,66,86,15
31,51,84,20
95,48,85,14
91,57,66,36
94,16,46,33
109,23,67,37
83,50,65,13
95,9,75,20
107,7,67,21
93,62,81,11
93,55,19,18
106,10,45,16
96,45,74,10
32,28,46,19
92,46,39,18
62,37,9,71
84,78,92,35
89,6,77,12
76,127,65,25
96,45,75,25
107,61,26,13
95,6,100,23
91,62,53,44
2,61,56,6
23,26,32,19
89,163,88,20
95,9,52,27
100,49,83,16
85,46,51,27
92,6,71,33
100,20,67,20
56,5,33,15
95,57,58,34
90,52,81,18
109,208,52,14
9,43,36,20
84,44,49,19
63,100,69,19
96,16,81,20
91,120,83,10
101,104,78,16
99,15,52,15
77,9,40,16
38,57,84,47
98,26,69,19
3,3,34,31
100,16,15,20
92,26,21,20
102,46,30,18
40,101,20,14
92,10,80,57
93,55,30,14
101,10,76,18
97,59,7,23
17,47,45,30
10,46,81,34
89,3,86,19
14,55,75,42
92,40,7,17
102,55,80,43
102,61,72,49
77,21,53,9
2,34,77,23
103,9,67,28
95,4,67,34
100,5,14,29
82,26,55,23
100,14,17,19
95,56,50,24
