All Equal,Two Opposing,Porisitive Dominant,Negative Dominant,50% Moderates,75% Moderates,90% Moderates
62,52,4,2,16,14,2
52,59,2,2,36,7,5
50,69,2,2,50,21,2
57,65,2,2,52,6,3
68,89,6,3,27,9,2
53,76,5,2,50,18,2
34,47,4,2,25,12,5
61,42,20,3,36,3,4
13,68,2,2,22,10,2
46,81,2,3,48,8,2
50,87,3,4,20,13,2
70,64,5,15,47,14,2
66,61,2,2,32,4,9
56,82,2,14,12,2,4
69,79,3,2,39,21,2
12,50,2,2,36,31,2
70,66,2,2,13,13,4
65,69,2,6,19,8,2
63,73,2,2,18,15,2
68,6,10,6,36,21,2
56,66,7,17,58,14,2
55,5,5,2,34,20,2
60,10,2,2,20,7,2
32,63,15,2,2,2,2
36,67,2,4,37,5,2
50,61,4,2,49,11,2
63,51,11,2,13,14,2
70,75,5,2,16,16,2
70,37,5,2,47,7,2
20,62,4,3,64,2,2
13,79,6,13,64,5,8
51,65,4,2,55,6,5
57,21,2,11,33,2,2
45,62,4,4,51,13,2
29,22,9,14,38,16,2
82,57,3,2,20,3,4
44,68,2,2,54,4,3
60,55,15,2,27,4,5
60,77,2,6,40,16,2
74,60,5,2,41,9,2
63,7,12,2,56,9,2
66,77,4,4,53,27,2
60,45,12,4,4,25,2
51,84,4,2,32,5,2
35,79,2,13,30,5,4
41,73,4,2,45,2,3
47,12,2,4,27,15,2
54,62,2,4,60,2,2
67,43,3,2,48,14,2
20,85,3,2,20,4,3
79,48,9,2,45,4,2
53,46,16,4,25,18,6
45,63,2,2,40,16,2
73,64,2,2,17,2,2
50,65,7,13,57,18,3
76,85,4,9,17,6,4
40,79,2,7,41,6,3
28,88,2,10,65,2,2
70,62,4,21,54,2,2
36,70,2,3,26,16,2
19,88,4,9,29,10,3
56,70,3,2,25,9,4
70,71,5,4,43,10,2
47,71,8,2,28,9,2
42,66,10,6,17,3,5
28,29,4,2,26,7,7
52,105,3,2,30,15,2
7,79,6,2,60,8,4
30,85,3,4,17,21,2
79,84,2,2,25,6,2
15,65,2,3,60,25,4
32,60,2,2,32,15,3
70,30,5,5,25,16,4
11,14,23,12,43,3,6
52,73,4,10,70,6,2
68,66,6,2,13,16,6
46,71,7,6,17,17,5
91,59,2,4,45,14,11
54,58,2,4,20,9,9
40,20,2,2,51,16,3
31,52,3,3,36,12,2
67,73,4,2,52,9,2
68,70,11,8,30,7,5
59,75,11,4,43,7,6
26,64,4,6,51,7,4
21,71,6,2,20,2,2
70,66,3,13,52,18,2
61,57,10,2,44,2,2
69,75,4,2,20,21,3
54,57,4,4,15,19,6
66,70,4,4,76,7,4
56,52,40,8,25,11,7
42,58,3,8,45,3,6
82,49,15,8,52,7,5
44,64,5,2,47,17,6
76,62,7,2,66,18,2
27,59,2,2,25,2,2
66,79,8,6,32,15,6
57,80,10,2,9,16,5
54,73,2,2,32,16,6
21,66,7,5,39,19,2
55,61,12,21,36,9,3
60,76,6,16,24,19,6
27,37,16,4,36,23,2
69,19,4,6,15,18,3
70,50,9,2,25,18,2
57,54,2,2,55,28,3
16,73,5,2,26,10,2
54,68,2,4,65,4,2
59,69,4,2,20,15,3
25,53,3,2,45,4,3
62,78,6,2,37,6,3
65,67,2,9,45,21,3
71,75,16,2,15,2,2
60,67,5,2,42,14,2
6,10,4,9,56,4,2
70,64,8,4,42,3,3
60,60,6,4,49,4,4
51,72,5,5,33,5,2
52,8,5,2,24,3,4
69,56,3,2,42,24,5
52,62,2,2,68,4,2
66,63,7,2,50,21,2
58,72,2,2,36,25,6
45,75,6,6,57,14,2
70,79,2,2,38,15,2
18,41,4,5,61,16,4
27,55,15,4,47,20,4
66,72,4,2,47,15,7
79,53,3,2,13,14,2
53,72,2,2,25,19,2
20,48,16,2,15,2,2
71,4,7,4,4,14,2
66,71,6,8,35,16,2
72,69,5,2,52,4,4
60,67,13,16,33,9,2
63,71,2,5,56,3,3
65,69,2,2,35,5,2
16,77,4,3,32,6,4
64,70,5,7,42,8,4
24,62,2,5,44,14,4
12,74,5,3,31,19,5
40,48,5,10,43,14,4
57,71,6,5,38,4,3
57,84,5,2,36,14,4
36,58,7,2,48,5,2
32,58,2,2,26,9,4
24,70,2,2,32,9,2
61,68,4,9,44,10,2
57,40,3,6,36,18,3
54,11,13,2,32,16,4
13,74,3,3,36,13,4
57,73,5,8,47,8,2
75,72,5,2,52,6,4
66,69,2,10,42,13,3
68,66,2,2,56,3,6
20,71,4,5,20,10,4
52,67,4,2,52,13,5
70,65,23,3,29,11,4
45,66,4,2,32,7,2
53,58,2,17,37,16,5
20,69,2,4,20,10,2
53,74,4,6,20,7,2
60,66,4,8,52,7,3
36,15,2,7,32,12,2
32,61,3,3,36,13,3
15,14,2,5,52,7,4
79,71,2,2,14,6,2
55,54,11,3,66,8,2
20,62,5,4,18,17,4
66,68,2,2,60,2,2
40,63,2,26,20,3,8
25,61,2,2,16,4,4
59,55,2,2,75,18,2
47,68,2,2,61,10,5
67,72,2,2,45,3,4
61,62,14,2,38,14,2
16,76,9,6,28,8,3
42,67,3,9,4,16,2
25,68,8,6,50,32,2
55,59,5,2,5,25,2
36,70,3,5,13,21,3
44,63,6,28,41,14,4
50,41,12,2,50,32,6
36,68,14,2,51,20,6
51,72,7,8,41,3,4
48,66,8,7,32,13,4
67,68,2,2,4,21,3
66,73,2,4,30,13,3
56,67,6,7,51,16,6
